date,base_sales,rtb_spend,promotion_spend,livestreaming_spend,incremental_rtb,incremental_promo,incremental_live,final_sales
2025-06-10,190,117260,77810,37712,572,435,281,1478
2025-06-11,207,48828,49198,19659,292,340,137,976
2025-06-12,209,104490,34236,29531,552,218,216,1195
2025-06-13,198,93886,87912,33050,526,443,244,1411
2025-06-14,238,68041,9964,3922,415,53,11,717
2025-06-15,206,88613,38029,27224,510,252,197,1165
2025-06-16,207,105421,3782,35466,554,34,263,1058
2025-06-17,195,48496,66591,8366,289,416,46,946
2025-06-18,201,39243,82626,39031,228,440,292,1161
2025-06-19,208,80111,25203,29188,476,141,213,1038
2025-06-20,199,96941,77250,47611,535,435,360,1529
2025-06-21,229,91474,26299,2121,519,149,0,897
2025-06-22,233,95737,81969,13266,532,439,86,1290
2025-06-23,203,52269,67856,30077,315,419,220,1157
2025-06-24,217,98140,72441,14827,538,428,98,1281
2025-06-25,197,14425,1620,35721,100,29,265,591
2025-06-26,214,65338,86652,37950,399,442,283,1338
2025-06-27,223,691,65400,5125,58,413,21,715
2025-06-28,209,38950,27427,25692,226,158,185,778
2025-06-29,216,43975,74645,25444,259,431,183,1089
2025-06-30,215,47540,25336,18464,283,142,127,767
2025-07-01,157,83456,78547,46646,491,436,353,1437
2025-07-02,163,46626,10132,41375,277,54,311,805
2025-07-03,154,53843,63331,34860,325,407,258,1144
2025-07-04,161,28505,48662,35716,165,337,265,928
2025-07-05,183,44790,8688,23085,264,48,164,659
2025-07-06,187,27272,21770,46049,158,115,348,808
2025-07-07,163,8783,1116,34729,81,28,257,529
2025-07-08,164,72413,42189,36449,439,287,271,1161
2025-07-09,156,80185,27113,43084,477,156,324,1113
2025-07-10,156,74338,53852,13703,449,368,89,1062
2025-07-11,156,55619,26751,40353,337,153,302,948
2025-07-12,190,45574,26992,9762,270,155,58,673
2025-07-13,172,103600,66887,17267,550,417,118,1257
2025-07-14,164,62289,4332,16780,380,35,114,693
2025-07-15,182,57501,81260,48926,350,439,371,1342
2025-07-16,170,3077,76703,42826,64,434,322,990
2025-07-17,158,40949,60102,35058,239,396,260,1053
2025-07-18,174,45623,53389,36352,270,365,270,1079
2025-07-19,183,47858,80307,28103,285,438,204,1110
2025-07-20,157,69620,16679,47354,424,84,358,1023
2025-07-21,152,64032,7107,24812,391,43,178,764
2025-07-22,144,72948,21555,19025,442,114,132,832
2025-07-23,159,91785,71512,8151,520,426,45,1150
2025-07-24,163,97558,3120,39310,536,32,294,1025
2025-07-25,179,86174,52452,36722,501,360,273,1313
2025-07-26,191,114662,89589,19217,568,444,133,1336
2025-07-27,176,2187,77012,1259,62,434,0,672
2025-07-28,171,23493,46930,41949,139,324,315,949
2025-07-29,141,907,5727,570,59,39,0,239
2025-07-30,166,77696,74823,35184,465,432,261,1324
2025-07-31,171,107763,53908,48512,558,368,368,1465
2025-08-01,149,29217,10343,21883,169,54,155,527
2025-08-02,200,111244,8447,11748,564,48,73,885
2025-08-03,182,7232,81866,35243,76,439,261,958
2025-08-04,160,112132,60228,40856,565,397,306,1428
2025-08-05,171,42194,74635,27321,247,431,198,1047
2025-08-06,187,12170,79108,48351,92,437,366,1082
2025-08-07,166,58304,51459,2583,355,354,0,875
2025-08-08,167,30813,46570,25239,177,322,181,847
2025-08-09,185,34184,38738,35922,197,258,267,907
2025-08-10,171,36874,28525,43132,213,167,325,876
2025-08-11,173,96363,39113,8962,533,261,51,1018
2025-08-12,157,64699,69649,40000,395,423,300,1275
2025-08-13,166,37356,54173,27635,216,370,201,953
2025-08-14,161,73240,80327,19827,443,438,138,1180
2025-08-15,170,85938,39904,6585,500,268,32,970
2025-08-16,194,32714,54638,43264,188,372,326,1080
2025-08-17,191,49625,56817,7863,297,383,42,913
2025-08-18,161,14626,53252,15489,101,365,103,730
2025-08-19,163,21737,63237,14502,131,407,96,797
2025-08-20,156,81734,21369,43570,483,113,328,1080
2025-08-21,162,21772,46112,33635,131,318,249,860
2025-08-22,170,63019,9380,39834,385,51,298,904
2025-08-23,199,85085,34606,12523,497,221,80,997
2025-08-24,173,12825,43890,31243,94,301,229,797
2025-08-25,176,68077,58700,28587,415,391,208,1190
2025-08-26,181,30787,85547,41641,177,442,313,1113
2025-08-27,171,115551,54058,45304,570,369,342,1452
2025-08-28,186,58025,66923,607,353,417,0,956
2025-08-29,160,96719,45563,33700,534,314,249,1257
2025-08-30,180,66027,57069,2591,403,384,0,967
2025-08-31,165,5209,6383,27442,70,41,199,475
2025-09-01,183,75978,22895,14381,457,123,95,858
2025-09-02,175,114168,32566,15338,568,203,102,1048
2025-09-03,168,72193,42524,17647,438,290,121,1017
2025-09-04,171,98302,4108,31064,538,35,228,972
2025-09-05,157,106104,12602,16702,555,64,113,889
2025-09-06,218,27369,24913,36634,159,138,273,788
2025-09-07,185,25445,87437,20226,149,443,141,918
2025-09-08,170,73317,29821,3417,444,179,7,800
2025-09-09,176,49323,43383,39187,295,297,293,1061
2025-09-10,174,100783,17648,14287,544,89,94,901
2025-09-11,172,108002,54970,21638,558,374,153,1257
2025-09-12,162,42410,25261,34272,249,141,254,806
2025-09-13,199,28424,18629,16622,164,95,112,570
2025-09-14,204,93663,46491,2829,526,321,2,1053
2025-09-15,183,32976,495,18696,190,26,129,528
2025-09-16,186,98713,689,47222,539,27,357,1109
2025-09-17,165,50848,19716,32086,305,102,236,808
2025-09-18,160,80105,3304,33573,476,33,248,917
2025-09-19,169,11464,9722,31614,90,52,232,543
2025-09-20,196,74863,30497,9949,452,184,59,891
2025-09-21,197,54212,72232,20916,328,428,147,1100
2025-09-22,154,70393,51484,37546,428,355,280,1217
2025-09-23,186,20161,46140,5068,124,319,20,649
2025-09-24,169,88424,26413,13892,509,150,91,919
2025-09-25,167,103535,83857,13815,550,441,90,1248
2025-09-26,161,26008,35731,21600,152,231,152,696
2025-09-27,180,11485,7838,49018,90,45,372,687
2025-09-28,195,2836,55535,3375,64,377,7,643
2025-09-29,172,77036,10245,25935,462,54,187,875
2025-09-30,159,72851,31070,8968,441,189,51,840
2025-10-01,159,65603,45667,48533,401,315,368,1243
2025-10-02,169,27833,78680,5665,161,436,25,791
2025-10-03,189,46908,44419,20180,279,305,141,914
2025-10-04,195,71337,63203,36894,433,407,275,1310
2025-10-05,173,59612,89353,35227,363,444,261,1241
2025-10-06,170,118534,11834,21136,573,60,149,952
2025-10-07,170,16372,24725,17326,108,137,118,533
2025-10-08,146,83417,35511,19880,490,229,139,1004
2025-10-09,173,48518,37964,13213,290,251,85,799
2025-10-10,171,51383,36991,10266,309,242,62,784
2025-10-11,205,86111,81684,24151,501,439,173,1318
2025-10-12,207,83092,64262,13426,489,410,87,1193
2025-10-13,185,118950,54711,14373,574,372,94,1225
2025-10-14,171,15407,27843,32837,104,162,242,679
2025-10-15,163,12493,74141,48426,93,431,367,1054
2025-10-16,200,86920,85955,30181,504,442,221,1367
2025-10-17,175,69406,73907,3848,423,430,10,1038
2025-10-18,200,32899,140,3779,189,26,10,425
2025-10-19,189,9530,57276,47571,83,385,360,1017
2025-10-20,177,10278,4602,14864,86,36,98,397
2025-10-21,173,107302,23184,4603,557,125,16,871
2025-10-22,169,23024,5357,29952,137,38,219,563
2025-10-23,170,38804,54341,31182,225,371,229,995
2025-10-24,175,27198,61793,32425,158,402,239,974
2025-10-25,195,42599,10303,13370,250,54,86,585
2025-10-26,183,8330,34545,755,79,220,0,482
2025-10-27,177,62287,41061,48250,380,278,366,1201
2025-10-28,173,8113,33214,12544,79,208,80,540
2025-10-29,191,96042,10892,33801,532,57,250,1030
2025-10-30,149,28045,37705,35331,162,249,262,822
2025-10-31,187,64801,67606,30500,396,419,224,1226
2025-11-01,294,105609,6390,15645,554,41,105,994
2025-11-02,251,78105,7216,13554,467,43,88,849
2025-11-03,253,63954,31929,29883,391,197,219,1060
2025-11-04,253,38920,84755,43304,226,441,326,1246
2025-11-05,243,39960,60171,47336,233,397,358,1231
2025-11-06,249,80338,61080,5295,477,400,22,1148
2025-11-07,246,119296,32572,7741,574,203,41,1064
2025-11-08,300,79420,53429,47236,473,366,357,1496
2025-11-09,282,66934,911,36826,409,27,274,992
2025-11-10,270,87678,57248,44149,506,385,333,1494
2025-11-11,265,55824,82195,10131,339,439,61,1104
2025-11-12,246,7217,55131,29379,76,375,215,912
2025-11-13,253,67475,78632,35056,412,436,260,1361
2025-11-14,263,114915,65157,34005,569,413,252,1497
2025-11-15,271,21036,10850,20407,128,56,143,598
2025-11-16,280,82800,81220,769,488,439,0,1207
2025-11-17,256,24112,5979,29146,142,40,213,651
2025-11-18,255,64299,48057,12655,393,332,81,1061
2025-11-19,266,11601,12792,22512,90,65,160,581
2025-11-20,263,54044,1053,47879,327,27,363,980
2025-11-21,255,90739,37983,19951,517,251,139,1162
2025-11-22,296,41708,26553,41990,244,151,315,1006
2025-11-23,263,79789,43740,9427,475,300,55,1093
2025-11-24,266,95453,51947,33623,531,357,248,1402
2025-11-25,265,111261,3936,48850,564,34,370,1233
2025-11-26,257,28157,11070,5094,163,57,20,497
2025-11-27,263,47917,50277,415,285,347,0,895
2025-11-28,247,18289,30885,21679,116,188,153,704
2025-11-29,294,119098,65625,4631,574,414,17,1299
2025-11-30,273,111240,58706,37419,564,391,279,1507
2025-12-01,175,64794,76104,45727,396,433,345,1349
2025-12-02,191,101043,62324,21701,545,404,153,1293
2025-12-03,174,62514,38693,12935,382,257,83,896
2025-12-04,167,74830,60566,21720,452,398,153,1170
2025-12-05,165,10694,24784,36172,87,137,269,658
2025-12-06,212,90632,27568,452,516,160,0,888
2025-12-07,183,15325,71008,29472,104,426,215,928
2025-12-08,199,99128,40177,30664,540,270,225,1234
2025-12-09,161,93843,71854,31884,526,427,235,1349
2025-12-10,199,85049,74018,12101,497,430,76,1202
2025-12-11,184,4339,77180,35702,68,435,265,952
2025-12-12,181,36375,82497,4569,210,440,16,847
2025-12-13,202,31573,38788,9963,182,258,59,701
2025-12-14,201,43216,28698,43873,254,169,330,954
2025-12-15,182,10517,52397,36936,86,360,275,903
2025-12-16,193,112434,33405,687,565,210,0,968
2025-12-17,184,66456,54096,12418,406,369,79,1038
2025-12-18,184,36662,63502,10720,212,408,65,869
2025-12-19,179,47637,61956,13540,284,403,88,954
2025-12-20,207,53664,33709,12377,324,213,79,823
2025-12-21,201,72071,15017,3126,437,75,5,718
2025-12-22,166,61881,38747,22947,378,258,163,965
2025-12-23,170,110327,12833,36636,562,65,273,1070
2025-12-24,191,59635,80108,30336,364,438,222,1215
2025-12-25,185,119058,31128,33643,574,190,249,1198
2025-12-26,182,102170,13901,4057,547,70,12,811
2025-12-27,209,25021,2290,47574,147,30,360,746
2025-12-28,203,111671,58124,41924,564,388,315,1470
2025-12-29,179,13963,57321,40254,98,385,302,964
2025-12-30,177,98093,30654,41149,538,186,309,1210
2025-12-31,186,45674,6454,46635,270,41,353,850
